Name,Subcategory 1,Category,Image,Store,Price,Description,Weight
Молоко Домик в Деревне 6%,Молоко,Молочные Продукты,/images/milk_dvd_6.jpg,Galmart,320,"Жирность: 6%. Форма упаковки: Тетра-пак. Молоко Домик в деревне коровье, стерилизованное, маложирное. Состав: нормализованное молоко. Срок хранения: 6 мес. Температура хранения: от +0 до +25 С. Производитель: ОАО ""Лианозовский молочный комбинат"", Россия.",1 л
Молоко Домик в Деревне 6%,Молоко,Молочные Продукты,/images/milk_dvd_6.jpg,Ramstore,324,"Жирность: 6%. Форма упаковки: Тетра-пак. Молоко Домик в деревне коровье, стерилизованное, маложирное. Состав: нормализованное молоко. Срок хранения: 6 мес. Температура хранения: от +0 до +25 С. Производитель: ОАО ""Лианозовский молочный комбинат"", Россия.",1 л
"Молоко ОДАРИ, 2,5%",Молоко,Молочные Продукты,/images/milk_odari_2-5.jpg,Green,245,"Тип Стерилизованное
Производитель ОДАРИ",1 л
"Молоко ОДАРИ, 2,5%",Молоко,Молочные Продукты,/images/milk_odari_2-5.jpg,Magnum,248,"Тип Стерилизованное
Производитель ОДАРИ",1 л
"Молоко ОДАРИ, 2,5%",Молоко,Молочные Продукты,/images/milk_odari_2-5.jpg,Galmart,243,"Тип Стерилизованное
Производитель ОДАРИ",1 л
"Молоко ОДАРИ, 2,5%",Молоко,Молочные Продукты,/images/milk_odari_2-5.jpg,Ramstore,240,"Тип Стерилизованное
Производитель ОДАРИ",1 л
"Молоко ОДАРИ 3,2%",Молоко,Молочные Продукты,/images/milk_odari_3-2.png,Green,265,"Тип Стерилизованное
Производитель ОДАРИ",1 л
"Молоко ОДАРИ 3,2%",Молоко,Молочные Продукты,/images/milk_odari_3-2.png,Magnum,268,"Тип Стерилизованное
Производитель ОДАРИ",1 л
"Молоко ОДАРИ 3,2%",Молоко,Молочные Продукты,/images/milk_odari_3-2.png,Galmart,260,"Тип Стерилизованное
Производитель ОДАРИ",1 л
"Молоко ОДАРИ 3,2%",Молоко,Молочные Продукты,/images/milk_odari_3-2.png,Ramstore,265,"Тип Стерилизованное
Производитель ОДАРИ",1 л
Майонез МАХЕЕВ Оливковый дой-пак,Майонез,Молочные Продукты,/images/mayo_maheev.jpg,Green,109,"Оливковый Майонез. Приготовлен из натурального оливкового масла и прекрасно подходит для рыбы и мяса, теста и салата.",190 г
Майонез МАХЕЕВ Оливковый дой-пак,Майонез,Молочные Продукты,/images/mayo_maheev.jpg,Magnum,110,"Оливковый Майонез. Приготовлен из натурального оливкового масла и прекрасно подходит для рыбы и мяса, теста и салата.",190 г
Майонез МАХЕЕВ Оливковый дой-пак,Майонез,Молочные Продукты,/images/mayo_maheev.jpg,Galmart,106,"Оливковый Майонез. Приготовлен из натурального оливкового масла и прекрасно подходит для рыбы и мяса, теста и салата.",190 г
Майонез МАХЕЕВ Оливковый дой-пак,Майонез,Молочные Продукты,/images/mayo_maheev.jpg,Ramstore,108,"Оливковый Майонез. Приготовлен из натурального оливкового масла и прекрасно подходит для рыбы и мяса, теста и салата.",190 г
"Рис СУЛТАН ""Отборный""",Крупы,Бакалея,/images/rice_sultan.jpg,Green,235,"Рис шлифованный длиннозерный в готовом виде не слипается, получается рассыпчатым. Хорош для приготовления пловов, салатов, гарниров. рок годности: 18 мес.
Хранить: в сухом прохладном месте.
Производитель: Компания «Султан Маркетинг», РК.",700 г
"Рис СУЛТАН ""Отборный""",Крупы,Бакалея,/images/rice_sultan.jpg,Magnum,240,"Рис шлифованный длиннозерный в готовом виде не слипается, получается рассыпчатым. Хорош для приготовления пловов, салатов, гарниров. рок годности: 18 мес.
Хранить: в сухом прохладном месте.
Производитель: Компания «Султан Маркетинг», РК.",700 г
"Рис СУЛТАН ""Отборный""",Крупы,Бакалея,/images/rice_sultan.jpg,Galmart,235,"Рис шлифованный длиннозерный в готовом виде не слипается, получается рассыпчатым. Хорош для приготовления пловов, салатов, гарниров. рок годности: 18 мес.
Хранить: в сухом прохладном месте.
Производитель: Компания «Султан Маркетинг», РК.",700 г
"Рис СУЛТАН ""Отборный""",Крупы,Бакалея,/images/rice_sultan.jpg,Ramstore,237,"Рис шлифованный длиннозерный в готовом виде не слипается, получается рассыпчатым. Хорош для приготовления пловов, салатов, гарниров. рок годности: 18 мес.
Хранить: в сухом прохладном месте.
Производитель: Компания «Султан Маркетинг», РК.",700 г
"Рис ЦЕСНА ""Длиннозерный""",Крупы,Бакалея,/images/rice_cesna.jpg,Green,270,"Вид крупы Рис
Производитель Цесна
Фасовка крупы Фасованная",800 г
"Рис ЦЕСНА ""Длиннозерный""",Крупы,Бакалея,/images/rice_cesna.jpg,Magnum,273,"Вид крупы Рис
Производитель Цесна
Фасовка крупы Фасованная",800 г
"Рис ЦЕСНА ""Длиннозерный""",Крупы,Бакалея,/images/rice_cesna.jpg,Galmart,268,"Вид крупы Рис
Производитель Цесна
Фасовка крупы Фасованная",800 г
"Рис ЦЕСНА ""Длиннозерный""",Крупы,Бакалея,/images/rice_cesna.jpg,Ramstore,271,"Вид крупы Рис
Производитель Цесна
Фасовка крупы Фасованная",800 г
ПАССИМ Рис Длиннозерный обработанный паром,Крупы,Бакалея,/images/rice_passim.jpg,Green,999,"Вид крупы Рис
Производитель Пассим
Фасовка крупы Фасованная",3 кг
ПАССИМ Рис Длиннозерный обработанный паром,Крупы,Бакалея,/images/rice_passim.jpg,Magnum,990,"Вид крупы Рис
Производитель Пассим
Фасовка крупы Фасованная",3 кг
ПАССИМ Рис Длиннозерный обработанный паром,Крупы,Бакалея,/images/rice_passim.jpg,Galmart,1000,"Вид крупы Рис
Производитель Пассим
Фасовка крупы Фасованная",3 кг
ПАССИМ Рис Длиннозерный обработанный паром,Крупы,Бакалея,/images/rice_passim.jpg,Ramstore,995,"Вид крупы Рис
Производитель Пассим
Фасовка крупы Фасованная",3 кг
"Макароны СУЛТАН ""Спагетти №1""",Макаронные Изделия,Бакалея,/images/spaghetti_sultan_1.jpg,Green,119,"Вес: 400 г. Состав продукта: мука высшего сорта из твердой пшеницы, вода Энергетическая ценность 100 г продукта: 344 ккал. Пищевая ценность 100 г продукта:  Белки – 10,4 г; Жиры- 1,1 г; Углеводы – 71,5 г.
Хранить: в чистом, сухом, хорошо проветриваемом месте с относительной влажностью воздуха не более 70 %, при температуре не более 30°С.
Срок хранения: 2 года.
Производитель: Компания «Султан Маркетинг», РК.",400 г
"Макароны СУЛТАН ""Спагетти №1""",Макаронные Изделия,Бакалея,/images/spaghetti_sultan_1.jpg,Magnum,115,"Вес: 400 г. Состав продукта: мука высшего сорта из твердой пшеницы, вода Энергетическая ценность 100 г продукта: 344 ккал. Пищевая ценность 100 г продукта:  Белки – 10,4 г; Жиры- 1,1 г; Углеводы – 71,5 г.
Хранить: в чистом, сухом, хорошо проветриваемом месте с относительной влажностью воздуха не более 70 %, при температуре не более 30°С.
Срок хранения: 2 года.
Производитель: Компания «Султан Маркетинг», РК.",400 г
"Макароны СУЛТАН ""Спагетти №1""",Макаронные Изделия,Бакалея,/images/spaghetti_sultan_1.jpg,Galmart,125,"Вес: 400 г. Состав продукта: мука высшего сорта из твердой пшеницы, вода Энергетическая ценность 100 г продукта: 344 ккал. Пищевая ценность 100 г продукта:  Белки – 10,4 г; Жиры- 1,1 г; Углеводы – 71,5 г.
Хранить: в чистом, сухом, хорошо проветриваемом месте с относительной влажностью воздуха не более 70 %, при температуре не более 30°С.
Срок хранения: 2 года.
Производитель: Компания «Султан Маркетинг», РК.",400 г
"Макароны СУЛТАН ""Спагетти №1""",Макаронные Изделия,Бакалея,/images/spaghetti_sultan_1.jpg,Ramstore,120,"Вес: 400 г. Состав продукта: мука высшего сорта из твердой пшеницы, вода Энергетическая ценность 100 г продукта: 344 ккал. Пищевая ценность 100 г продукта:  Белки – 10,4 г; Жиры- 1,1 г; Углеводы – 71,5 г.
Хранить: в чистом, сухом, хорошо проветриваемом месте с относительной влажностью воздуха не более 70 %, при температуре не более 30°С.
Срок хранения: 2 года.
Производитель: Компания «Султан Маркетинг», РК.",400 г
Спагетти Barilla ,Макаронные Изделия,Бакалея,/images/spaghetti_barilla.jpg,Green,425,"Страна Италия
ТМ Barilla
Разновидность Спагетти",500 г
Спагетти Barilla ,Макаронные Изделия,Бакалея,/images/spaghetti_barilla.jpg,Magnum,430,"Страна Италия
ТМ Barilla
Разновидность Спагетти",500 г
Спагетти Barilla ,Макаронные Изделия,Бакалея,/images/spaghetti_barilla.jpg,Galmart,427,"Страна Италия
ТМ Barilla
Разновидность Спагетти",500 г
Спагетти Barilla ,Макаронные Изделия,Бакалея,/images/spaghetti_barilla.jpg,Ramstore,425,"Страна Италия
ТМ Barilla
Разновидность Спагетти",500 г
Макароны СОЮЗПИЩЕПРОМ Спагетти тонкие,Макаронные Изделия,Бакалея,/images/spaghetti_souzpischeprom.jpg,Green,139,"Страна РК и СНГ
ТМ Союзпищепром
Разновидность Спагетти",500 г
Макароны СОЮЗПИЩЕПРОМ Спагетти тонкие,Макаронные Изделия,Бакалея,/images/spaghetti_souzpischeprom.jpg,Magnum,140,"Страна РК и СНГ
ТМ Союзпищепром
Разновидность Спагетти",500 г
Макароны СОЮЗПИЩЕПРОМ Спагетти тонкие,Макаронные Изделия,Бакалея,/images/spaghetti_souzpischeprom.jpg,Galmart,135,"Страна РК и СНГ
ТМ Союзпищепром
Разновидность Спагетти",500 г
